message,classification
completamente diferente com o que vem sendo divulgado pelos jornais .,0
"s茅rio isso?!!
qtos ""artistas"" j谩 chamaram bolsonaro disso e fica por isso mesmo?!!
at茅 quando?
 https://t.co/nmjb0plnz4 via @user",0
@user q porra 茅 essa sio kkkkkkkkkkkk,0
saudades dos amigos de sp mds pqp,1
bglh ridiculo querendo saber da minha vida pessoal.,1
"@user @user satan谩s caminha pela terra...

脡 aborto, drogas, pais e filhos que n茫o se respeitam, professores e alunos que n茫o se respeitam, valores morais que n茫o existem mais, o certo virou errado, o errado virou certo. 

oremos pela salva莽茫o de nossas almas.",0
"cara, que merda. ser assediada é um cu.",0
vem tóquioooo caralho #voleinaglobo,1
"@user graças a essa campanha idiota eu provei o barbeador da bic e achei melhor que o gillette, e por uns 40% mais barato. gillette nunca mais.",1
"a gente faz as coisas na boa vontade, resolve os problemas do outros e como agradecimento sai é falando mal ainda",1
"@user putz , e ainda querem ter credibilidade? uma ex-bbb mano, ex-bbb !!!",1
"as coisas nunca dão certo pra mim, mesmo eu ficando calada e não contando pra ninguém, acho massa minha capacidade de ser um lixo e estragar as coisa",0
"rt @user @user ai que ódio, qual é o problemas dessas pessoas?? que povo ingrato puta que ódio",1
"quem quiser por a cacha莽a no cu vai poder eu hein
vem perguntar antes n茫o mata n茫o",1
"@bolsonarosp o besta fera do noblat sempre fala tic tac no blog dele envolvendo vocês !com essa corja maligna do congresso ,stf ,mídia , jornalistas como esses diabos do noblat ,fábio panunzio ,reinaldo azedo ,raquel sheirabosta ,josé simão ,george marques ,todos da globo enfim que perseguem @jairmessiasbolsonaro ,esquerda só teria solução com uma intervenção divina @bolsonarosp !deus tinha que fazer uma limpeza com essa corja maligna @bolsonarosp",1
tudo na vida tem limite porra,1
@user @user mas 茅 foda q se ele n tiver postado no face tb vai q o irm茫o do menino n tem conta no tt k,0
"eu deixando as pessoas falando sozinha: ah gente eu n to em mood de conversar sabe n eh por mal ok? ngm deve cobrar resposta de ngm
eu sendo deixada falando sozinha: *ataque de ansiedade* aí meu deys esta pessoa claramente me odeia pq eu sou um lixo",0
"o respeito não faz parte desse partido, o psl! vergonha! uma celebração terminar com desrespeito! isso não pode! punição presidente rodrigo maia!",1
tô com medo de fica feio pra bosta mas se fodaaaa,0
"se filiar pode com certeza, ser eleita já é outra conversa ",0
"breno é foda, me chama pra ir no cinema mas quer me deixar de vela, filha da puta kkkkkkkkkkkk",1
meu pai é um homão da porra e só minha opinião importa,1
"@user @user 
chora mais
#bolsonaronabahia",0
"mano, dois tie é pra fuder o cu do palhaço, tava 2x0 porra",1
"somos a maioria, graças a deus!!! ",0
"odeio gente q fica dando rt em pornô, vai transar porra",1
eu tomei no cu agora,1
so vcs acham isto!! o povo ta nem ai p esquerda!! acordem,0
velha idiota.,1
@user @user @user o de antes tava bem melhor,0
haddad será nosso presidente 2022,0
rt @user premiações coreanas só se tornaram irrelevantes a partir do momento que o bts começaram a levar todos os prêmios k  https://t.…,0
"esse facista , racista e homofóbico ainda está vivo na política??? vc não não me representa !!!",1
como assim eu não sabia da existência dessa fancam?!?!?! meu dia foi abençoado!!??,0
amo esse homem,0
@user você é ridícula jaburu #mpn #nowunited #uniters,1
"#voleinosporttv esporte vibrante da porra. é adrenalina o tempo todo.
vibração, emoção, disputa, garra e o melhor é que é um esporte que consagra a todos, até quem perde, porque é sempre jogão. raro ver um jogo de vôlei que não envolve muita raça de ambos os lados.",1
"@user to quase te bloqueando ou te enfiando a porrada. tu n茫o quer responder, s贸 d谩 o papo, filho da puta",1
toda vez que eu ver na tl vou dar rt pq nunca eh demais ver um racista apanhando,0
rt @user sto linda pra caralho,1
"willian kessley aposta no pagode romântico do cantor @user nas audições às cegas.
acompanhe tudo o que rola no #thevoicebrasil  https://t.co/lrfgm2izeu https://t.co/zvdc3bksnf",0
"não julgo,faria a mesma coisa kkkk",0
@user e tá errado porra?? grande pai ,1
"eu desisto de cantar zimbra
o tom de voz das músicas acaba com a minha garganta
ou é muito baixo, ou é muito alto, ou tem uma técnica vocal do caralho que eu não sei usar
eu consigo cantar &gt;take me to church&lt; mas não consigo cantar &gt;viva&lt;
olha sinceramente...",0
"hoseok vc tá aprendendo essa pose com o jk é 
parabéns pelos 100m meu amooor 
te amo filho da puta",1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user levar essa rola duraça no cu deve set muito bom!,1
"caralho isabela deu mo cabeçada no meu nariz
to sentindo cheiro de sangueee",1
"machista, se você vive atrás de sugar daddy o problema é seu, não me envolva nesses assuntos medíocres não sua atoa.",1
rt @user “ vamo escrever por código pras meninas não descobrirem o que a gente tá falando hurrrr durrrr “,0
"aos idiotas, o silêncio!",1
trabalhando na frente do pet eu vejo cada tipo de bicho tipo agora vi um cara carregando um poodle no colo e ela parecia um bezerro de tão grande,0
rt @user essa semana tá passando mto rápido parece que ontem era segunda e amanhã já eh sexta alguém me segura q deu até tontura,0
rt @user mara típica bolsomonion dizendo que a mamata acabou #fofocalizandonosbt https://t.co/eyafldv4j7,0
"pra tu ter noção de que nem edição precisou pra ficar absurdoooooo!!!! caralho, a nação é foda pra caralho, tenho muito orgulho!! https://t.co/t9itczywhv",1
"primeiro, só pra te avisar tem 9 ali.

segundo vai tomar no cu.",1
"@user só quem tá reclamando do beijo são as vkookas com dor de cu pq os dois envolvidos no beijo nunca reclamaram, muito pelo contrário lol",1
rt @user briga de fandom em tt já tá enchendo o saco pqp  https://t.co/3dnhi7uxee,1
"essa att meu deus eu vou morrer mru deus eu to--- um dos melhores capítulos anão

#rebuliçoquente https://t.co/n9p6avbkrv",0
toma fdp. toma no cano,1
"rt @user tenho um v铆deo de anal e um na bucetinha

anal fav
buceta rt 

quem ganhar posto rz",1
"rt @user ô ô ê ê, solta o maxi lópez nessa porra!",1
"hipocrisia é uma merda ya, aqui falam e defendem certas coisas de forma a parecerem exemplares, na prática fazem completamente o oposto do que falam e defendem aqui, não sei como é que conseguem mas aprecio a capacidade de representação",1
tem gente que gosta d provocar pqp,1
@user todo mundo que tá falando mal da beyoncé vai tomar no cu ela é uma lenda e ponto final https://t.co/wjuxtdazje,1
"rt @user meta: trezentos comentários 

• cinco cores 
• cinco animais 
• cinco profissões 
• cinco nomes 
• cinco esportes

paulin…",0
mano isso é mutoo real kkkkk,0
"@user caralhoooooooo que sonhooo, eu ia chora",0
canalha !!,1
anv do meu primo hj e eu vou ter q sair voada da prova p me arrumar pqp,1
essa vee é uma tremenda vaca #orangeisthenewblack,1
rt @user 50% da minha conversa com o matheus eh aleatoriedades e 50% é falando o quanto ele eh lixo,0
"nao sei oq ele disse da balada e das minas p mim, eu falei assim ""eu sou uma mina sou melhor que vc e vc vai me respeitar, agora abaixa a sua mão pra falar comigo, vc vai falar comigo assim com a mão abaixada ok?"" kkkkk ele ficou pianinho pqp o auge",0
"não, janaina a arrependida cruela, a esquerda tem argumentos porqud a direita brasileira é escrota, com rarissimas exceções...",1
"obrigado, jair! a conversa com israel foi fundamental!",0
piada esse tipo de gente !,1
"@user @user @user @user não teve outro jeito a não ser amadurecer meu raciocínio sobre o tema, me peguei por várias vezes esmurrando minha própria cara pra tentar gerar algum efeito nela que a impedisse de prosseguir, no início funcionou, mas com o tempo nem meu rosto ensanguentado fazia diferença.",0
caralho feio eu faço umas escolhas que só por deus,1
orgulho presidenta!!!!!!! ,0
parabéns zanin! lula o melhor presidente do brasil!,0
mds chegou um povo da igreja na minha casa e minha mãe n tá aqui eu n sei oq falar com eles eu nem acredito nessas coisas meu cu tá na mão eles vão achar q eu sou mal educada quero sumir,1
@joicehasselmannoficial cada um colhe o que planta.,0
"“messi é unico, não veremos outro fazer o que ele faz. ele tem seu próprio estilo, não acredito na possibilidade de alguém mais conseguir se tornar esse tipo de jogador. é um jogador de playstation. aproveitem enquanto podem, porque é um jogador precioso”.

— ibrahimovic, em 2016 https://t.co/8rzuxafyo2",0
@user kkkkkkk eu lá concentrada a mina me puxando kkkkkk maluca porra,1
"@user @user vale tbm lembrar que já tiraram uma pedra do seu alicerce.
araraquara, prefeito petista, sei não viu...",0
"rt @user se eu já me incomodo com meus 25 centavos de cabelo, imagina c esse cabelo todo, deus me livre kkkkkkk https://t.co/cs6atzn7sr",0
rt @user o ponto ideal da carne é no pasto mugindo ô fdp https://t.co/te2xxdfatl,1
cheia de ódio puta que pariu,1
tem muito amor nessa foto ,0
"a melhor parte de ter uma amizade foda, verdadeira pra caralho mesmo, é estarem as duas em crise e uma aconselhando a outra e tentando fazer com que ela enxergue as coisas que a depressão esconde da gente. ainda bem que estamos aqui para nos lembrar que somos incríveis. ",1
"@user @user vão ser menos dias, eles vão deixar os artistas no aleatório, tipo quem der sorte pega o dia do dennis, e ainda querem tirar umas festas que são tradição, isso é ridículo de vdd. todo mundo esperando a anos pela viagem e eles fazem isso",0
"paulinho que deus te abençoe sempre, exemplo de pai que eu quero ser.",0
"@user mais uma mamadeira da lei rouanet, que ficou sem patrocínio do governo. se fosse boa artista, tava calada e trabalhando...",1
"uma das piores palavras de se perder na vida : avós. tem 3 anos que não sei o que é falar isso e dói pra caralho

os paternos convivi pouco
os maternos, por ser o terceiro neto mais velho, vivi demais...o dia mais triste foi quando eu perdi minha avó, mãe da mãe, que dia",1
"@user eu assisti quando passava na sky no animax. nunca entendi tbm essa porra. hj tenho vontade, mas sei q n vou entender nada kkkkkkkkk (acho q sou burra)",0
puta dor nas costa mermao,1
@user hahaha gente famosa aqui é uma coisa engraçada. quando eu tocava na noite sempre tinha alguém famosão que era sumariamente esnobado por eu não ter a mais puta idéia de quem era.,1
"intuição filha da puta, vi uma coisa e ja fiquei mal pq até sei oq aconteceu ",0
"tem certos #tbt que a gente quer postar, mas não pode.",0
@user tmj cu mlk kkkkkk próxima vez vai sem hein kk,1
@user deixa eu botar meu pau nesse seu cu safado,1
@user @user só resta o kkkkkkkkkkkkkkkkkkkk,0
"se dessa vez, atrasar: fodeu! fodeu mt",1
em novembro quem sabe né ,0
@carlosluz07 foi bem o que eu tava pensando…,0
@user clbc q vc tb era feio,1
maldito sentimento que nunca se acaba,0
todos bandidos.,1
@user teu cu fdp,1
sempre bossonaro pôde contar comigo sempre patriota,0
kkkkkkkkk os cara só tem papo ,0
todo dia escuto um comentário diferente sobre algo em mim e faz eu me sentir um lixo,0
"alexandre garcia, excelente jornalista. ",0
"faltou luz ontem e voltou já, e nada da porra da internet ficar boa",1
linda foto gostei parabéns bom dia boa semana ,0
onde foi feita essa pesquisa na sede do pt,0
"rt @user que belo artigo do @user 

sobre as ameaças que liberais deveriam estar percebendo no brasil de hoje.

https://t.…",0
desgraçado fdp,1
"|￣￣￣￣￣￣￣￣￣￣￣|  
   mande comentários
  pra ajudar na votação 
            》army《
|＿＿＿＿＿＿＿＿＿＿＿| 
                \ (•◡•) / 
                  \      / 
                     ---
                    |   |

sem flop
#mpn #army #bts #boywithluv @user",0
eita viado https://t.co/ql9nilw6ee,0
"a pessoa fica puta c seila oq, mas eu não posso saber o motivo pq estou sendo “sonsa”, haja paciência",0
é eu olhar pra tela do meu celular q quero chorar,0
parabéns seu lindo,0
ess joice é traidora mesmo ganhou nas costa do presidente e agora traiu,1
puta que pariu que criança linda vai se foder hyunsuk,0
preciso terminar a minha maratona marvel antes do fim das férias aaaaaa só faltam oito filmes,0
e o bolsonaro deve estar muito preocupado....,0
quem faz um fake em pleno 2019?? pqp,1
@user muito legal sua reflexão,0
deus abençoe sempre!,0
@user me manda essa putaria ai,0
é uma idiota! não precisamos da pena dela...,1
rt @user dogs que sentam engraçado advogados associados https://t.co/6cr1ta1g2g,0
"tava ali na frente com os cara no solzinho trocando altas ideia, porra vim p baía ta uma friaca aqui dentro vsf ",1
"tenho quase 20 anos e os meus pais põe-me hora para chegar a casa, claro que me aborrece, e muito, mas é uma coisa normal e eu percebo, era pais como os meus que maioria do pessoal de 13 anos agora precisava https://t.co/lee3z2asey",0
rt @user o copom reduziu a taxa #selic para 6% a.a.. meu economista chefe explica o que muda na sua vida com isso. #investalk,0
to saindo de casa de cabelo molhado ai minha mãe disse q se eu n secar ele dps ela vai enfiar o remédio de gripe igual supositório no meu cu kkkkkkklkkkkkkkkl,1
alguém nesse carai me ensina a mexer no sony vegas pro eu vo chorar,0
"rt @user to fora dessas mandadas, nem esquento a cabeça, sou psico e na favela não falta buceta ..",1
"@user ah, vsf kkkkkkkkkkkk",1
@user nossa verdade pqp kkkkk não tinha lembrado,1
tá foda minha vida,0
"da pra acreditar nisso mano, ninguém liga pra nada nessa porra.

fonte: brasil de fato https://t.co/ygd8eq3spx",1
"@user esse jogo tá mais feio que prata jogando, o cara querendo gankar sem tirar visão deles, fazendo objetivo com  a one tendo visão, mlk tem que se aposentar já",0
deve ser muito difícil odiar esse garoto e não pode chamar ele de feio,1
"às vezes, o inimigo pode se disfarçar de amigo, aquele que te oferece apoio pode ser o mesmo que te derruba. fique atento às verdadeiras intenções por trás dos gestos, pois nem sempre o que parece ser uma ajuda é realmente benéfico.",0
ah mas pode ter certeza que do serão consideradas fake news aquillo q for contra a corrupcao,0
"fico mt puta, desculpa kkkk eu tenho preguiça de mandar",0
"que beleza de governo para os trabalhadores!! era isso o que vocês da imbecil direita, que também são trabalhadores queriam?",1
se jogar um carteira de trabalho não sobra um,1
"blenda esqueceu a carteira,perdeu o cartao de passagem,perdeu o celular,caiu no onibus,arrebentou o chinelo e agr ta todo mundo atrasado p caralho meu pai a demissão vem ..",0
"koe minha mãe faz uns cropped e to ajudando ela a vender, 15 reais cada, por enquanto p quem é de osasco e quem conseguir ir em qualquer estação da cptm
se puderem dar rt p divulgar, agradeço, eh nois https://t.co/ly4ac2uluk",0
rt @user é impossível olhar e não sentir. https://t.co/tqydriojsl,0
"rt @user posso ser feia, mas pelo menos não fico diminuindo outras meninas no cc, boa noite",0
@user ata é feio mentir sabia..,0
"além de ser homem é analfabeto, fé meu parelha",1
"você é o lulinha ficaram no vácuo, não vem com mentiras não",1
@user se fizer bem feito eles entregam até a mãe.,0
"@user @user e aí, panaca? qual o próximo desafio? que tal vc aparecer na próxima manifestação em favor da lava jato?",1
"rt @user eu prefiro morrer do que me permitir novamente, vão se foder",1
acabei de ler uma publicação que diz que está cada vez maior o número de hamsters que acreditam que a roda é plana https://t.co/ofygdeag1w,0
roubado da rede ao lado https://t.co/g3zvt7dk1e,0
pqp q porraaaaa brasil. vira esse crl,0
deputado racista verme fora lixos do psl,1
@user @user @user é tóxico... precisa ter cuidado mesmo!,0
"carai mano, o acidente do luiz miguel, tomara deus cuide de tudo e deixé ele bem ",0
@user porra queria demais no sul única coisa q presta é o churrasco msm.,1
"@user jana  vai  dar  um passe  na mula sem cabe莽a.
https://t.co/s4wk8wbzcy",0
"rt @user deus olhou pra mim e falou, sem bunda, sem peito, sem beleza, sem nada, apenas fica aí no mundo vivendo https://t.co/csli…",0
"gentalha hipócrita! fariseus, falsos cristãos! quadrilheiros",1
@user caralho meu coração parou por um minuto,0
não acho não só enche de orgulho cada cidadão brasileiro ao ver um filho defender arduamente o seu pai.,0
"migaaaaaa essa tua vergonha vai passar no débito ou no crédito? pq n estou bem feio mais, ta horriveeelll kk",0
o próximo a perder será o trump,0
"@user comprou um jatinho com o dinheiro do @user 
@user filho da puta!",1
eu com uns 4 quilos a menos ia fica um nojo,0
"@user @user por isso que eu acredito cada vez mais naquela teoria que o lula 茅 que ta livre e a gente 茅 que ta preso aqui fora, pq ta osso demais.",0
"mano, não entendo pq minhas amigas se acham feia sendo que elas são maravilhosas, odeio isso",0
"o tanto que minha irmã me estressa, vai toma no cu",1
@user @user tudo isso 茅 maconha?,0
noja comprando a inocência dessas meninas! ,1
"carro só da despesa, pqp",0
rt @user lembro me de foder o computador ao jogar gta  https://t.co/a8k7ctoe3h,1
esse bandido tem que cair fora,1
rt @user pp é reto !!  https://t.co/mufpzebbea,0
"vou ter que explicar 1000 vezes p minha mãe que peixe não se come com arroz, feijão e pá. peixe eh só pra tirar gosto porra",1
é foda demais quando vc abre os olhos e enxerga coisas que porra já estavam na sua cara a séculos !,1
e os diretos morais? processe os canalhas!,1
melhor sensação é fazer alguém rir até ela ficar com cara de idiota,1
"@user @user se acha que os são os pé de chinelo que vão por si só? 
não.  tem gente de grana que ainda explora os madeireiros,  são os boi de piranha. 

tem que tudo apanhar dos indígenas mesmo.",1
rt @user tamo nas quartas de final!! é us guri  https://t.co/0bixi1inff,0
"achei que bateu pouco ainda.
imagino se o cara estivesse com um filho menor do lado e visse o pai tomando uma cusparada... e não entendendo pq o desgraçado humilhou o pai no meio do metrô.. 
devia ter batido mais.",1
"rt @user @user @user falta pouco agr #mpn #army #bts #boywithluv @user 
#mtvhottest @user",0
minha prof mandando msgs sobre grandes cientistas brasileiros ,0
@user ngm mandou n olhar por onde anda,0
rt @user e eu sigo sendo sapatão https://t.co/h8rav1qmar,0
eu amo presi ,0
brota que hoje vai rola na quele pique ,0
"temos uma imprensa podre, jornalistas doentes mentais e sem capacidade de exercer e escrever artigos, uma vergonha, próprios jornalistas ficarem contra seu próprio país.",1
vamo brasil caralho vamo virar,0
@user mds vc e o thiddles fariam um casalzão da porra,1
mano pqp tô ficando nervosa,0
tenho fé que vai dar tudo certo ,0
cada pessoa retardada na minha vida que vou te contar viu,1
"não sei o que se passa na minha cabeça, mas o mundo está parecendo absurdamente sem graça. acho que só tenho andado meio amargo pra caralho.",0
"rt @user salvem nosso planeta, é nosso lar,voce pode fazer diferença nisso
#armyssavetheworld https://t.co/qrqtiwgzle",0
"@user porra, como feijão até na sopa de ervilha menor kkkk",1
eles estão com pena deles mesmo não poderem mais levar nossas riquezas,0
"@user porra, nem fala
vou aí f1",0
s贸 repassando ---&gt;#stfvergonhanacional,0
vergonha até o invasor boulus tá no meio,1
vai chupar cacete biscate,1
um dos melhores seres humanos vivos,0
as pessoa tem uma mania muito feia de falar que você fez algo sem os 100% pra provar que você fez.. acusar sem prova pra nos é conspiração e se tá conspirando contra cria é última forma.,0
sua posição politica é de quatro,1
"puta que pariu, toda hora o telefone toca, eu atendo, não falam nada e desligam, eu não aguento mais, vai tomar no cu porra",1
"se eu juntasse todos os textos de ""términos"" dava um livro sapatao bem intenso",0
@user kkkkkkkkkkkkk sem nexo essas paradas tnc,1
"rt @user ernesto araujo nega aquecimento global: ""meu pinto ainda está encolhido""",1
"gente pelo amor de deus,cadê as feministas que só serve pra colocar os peito de fora,porque a ministra não denuncia esse jornalista,ele a ofendeu profundamente,na verdade ele ofendeu nos mulheres,que absurdo como um homem pode fale isso pra uma mulher,ministra,se não começar a denunciar esses lixos,eles vão achar que pode tudo,eu me senti agredida com o que esse leco escreveu.",1
concordo plenamente com a janaína paschoal. a varias formas de dizer a mesma coisa. ex. criação de uma agência de inteligência voltada ao combate a corrupção nas instituições sejam públicas ou privadas.,0
"deitada na cama de cabelo molhado e com uma preguiça da porra de secar

triste",1
"rt @user os efeitos na roupa mano, a roupa ta literalmente  brilhando
 itzy como sempre surpreendendo

 https://t.co/qmgn1ph1ix",0
nojo dessa nossa política,1
"a pirralha precisa estudar muito e deixar de reproduzir o que essa esquerdalha fala pra ela, nem nenhum aprofundamento das questoes!",1
deitado esperando o philipe augusto vir me buscar pra me levar pra paraisopeba https://t.co/pqr6g7dag0,0
comecei assistir vis a vis ontem e não consigo mais parar... pqp,1
que sono agoniante pqp,0
só gente bacana ,0
perdi até a fome tnc,1
um cidadão de bem. um fdp desse!,1
"me liiiiiga 
me manda um telegrama 
uma carta de amor 
que eu vou até lá 
eu vou",0
putz e aquele viadinho que falou que ia me pagar em fevereiro e ate agora nada meu pai amado,1
virei o psicólogo,0
putinha dos coroas,1
gnt como pode falar q esse homem é feio jesus,0
cada vez que eu lembro que a amazônia tá sob responsabilidade de um completo idiota eu aumento em 27% minha chance de infarto antes dos 30 anos,1
"@user esse semana agr tá marcado pra gente beber e comer lá na minha casa, falei com palominha tbm",0
"ou o povo pede a saída desses bandidos de toga, ou o império do stf ditará as regras.",1
"o josh já teve cabelo longo? — já! tem algumas fotos dele de cabelo longo, inclusive, saudades. https://t.co/9zyxcciqow",0
"já perdi as contas de quantas pessoas vieram me perguntar se eu sou o tal de dante/paloma e eu já cansei de dizer q não, se a palavra não basta pede meu número, me liga por chamada de vídeo, quiser mando até foto do meu documento pra pararem de achar q eu sou esse mlq.",0
pintei minha una mas ta ridiculo de feio kkkkkk n da,0
hipócrita esta senhorinha bachelet,1
cara q mamae beijou vagabundo nenhum põe a mao,1
"eu to bloqueando tanta agência de modelo e loja que me chama pra ser modelo, eu não vou emagrecer pra sustentar essa indústria lixo e pronto",0
"@user você tava em outro plano,caralho tu é muito pica lannis",1
"se júnior chamasse mauro cézar de mau comentarista, até era admissível, mas questionar o caráter do cara pegou mal demais. deve ter postado na ""empolgação"" da terceira garrafa. bola fora do maestro.",0
// eu quando vou turnar com qualquer pessoa kkkkkkjjj,0
o presidente não deve da satisfação a essa criança,0
eu quando to perto dos meus amg @user @user @user,0
@user @user @user vem logo pra cá dnv arrombado,1
@bolsonarosp traz colégio militar pra resende ,0
"milhões em recursos somem, é o mal do homem ",0
"esse deputado racista é um verme, verme este que, quando amassado com os pés ele fede. tu, deputado, é tão pequeno, que se alguém cuspir no chão perto de você é bem capaz de mata-lo afogado.",1
"sei nem explicar a felicidade que to sentindo pela kel, puta que pariu!!!!! ",0
cada uma viu ninguém merece já chega,0
@user tá gorda mane,1
"quem aí acha que tá na hora de voltarmos às ruas? o povo não pode tolerar o stf literalmente fazendo o que bem entendem e ficar de braços cruzados. eles são nossos funcionários. o povo não pede, o povo decide!#stfvergonhanacional https://t.co/b5zp2t4wmp",0
"rt @user eu não sei como la casa de papel fez tanto sucesso

cara, é mto ruim
a galera é mto burra e vc só passa raiva vendo

??????????…",0
as universidades públicas federais estão sem suas verbas completas há anos! é uma situação trágica!,0
@user onde vc ta?,0
patriota queimando a amazônia? cristão apoiando assassino? a continha toda fechada. covarde.,1
so de saber que filipe luís já pode jogar a libertadores eu fico todo feliz ,0
"adotar é assim, com declarações de amor e demonstrações de carinho, não é o que as nossas tias aqui fazem quando vão buscar meninas no interior do país para escravizar em casa.
criança bem pequena com responsabilidades bem grandes, essas cotas deviam se rever! https://t.co/bzeojeyjxs",0
como sempre atrapalhando o teu pai. nunca vi tanto filho atrapalhando o próprio pai como presidente da república. #calaabocaeduardobolsonaro,1
"estou impressionada, ouvi um pequeno trecho da hora do brasil e parecia a imprensa esquerdista: só falaram mal do presidente! relataram as opiniões de vários políticos petistas, todos criticando imensamente tudo! quem controla a imprensa oficial? é a rede globo, a veja? porque não diferiu em nada! fiquei boquiaberta! foi hoje!",0
"gente assitam esse filme! se chama dumplin. fala sobre uma garota gorda q se inscreve para um concurso de miss  é um dos filmes mais lindos que já vi. tem mulheres gordas, sapatão e drag queen e tem um humor tão leve! jennifer aniston e dove cameron estão no elenco também  https://t.co/giuzfep3dp",1
rt @user eu nao to conseguindo nem raciocinar sm voce so faz merda mano se toca caralho,1
"na hora de ajuda qm ta no fundo do poço ngm ta nem ai, dai eh so fala q vc num tem 1 amigo de vdd q renasce das cinzas p te cobra",0
to sentimental demaisssss pqp odeio,1
ele deixou claro quais valores carrega.,0
rt @user só pq não tenho pinto eu não posso comer seu cu?  menino para de ser machista e vem com esse cuzao gostoso pra cá,1
estou feliz muito confiante nosso presidente está remodelado o brasil!,0
rt @user o chenle sorrindo bobo enquanto o jisung faz aegyo sou eu vendo essa boiolagem  https://t.co/lumzygderm,0
"3,90 na porra do dólar de novo.

aquela merda de texto base da previdência não iria fazer baixar? bando de gado",1
mds se eu estivesse assistindo esse jogo antigamente já estava puta mas ave p que se estressar,0
"friozinho bom p transar até o pau cair, enfim",1
"viva bolsonaro! moro herói nacional!! recorde de empregos, menor taxa selic, maior infraestrutura, privatização! viva o novo brasil!!",0
lindo mesmo é  você bb @user,0
@user vc não sabe o quanto eu me segurei. até pq discutir com um sem noção e estúpido desse é pedir pra passar ainda mais raiva com as merdas que ele vai falar.,1
qria pegar um shopping hj mas acho q vou dar uma segurada pprt .. ter莽a meu niver qro botar p fuder,1
"diego alves
rafinha
rodrigo caio
pablo marí
filipe luís
cuéllar
gerson
everton ribeiro
arrascaeta
bruno henrique
gabigol

cara, é impossível não sonhar com títulos. vai ganhar? ninguém sabe. mas, é uma possibilidade gigante!",0
@user @user se e um arrombado kkkkk,1
mas nada supera essa tradução https://t.co/5966rl6i6o,0
"@user tem que prender e fazer falar. prender e ficar de ""pica sonsice"" não vai adiantar.",0
menumas é muuuuuito bom vsf ,0
janaína votei em você pra que você ajudasse o governo.,0
no fundo todo mundo é filho da puta com alguém,1
@user speak portuguese ow fdp,1
"ai mano esse velho aí, essa é a única forma dele repercutir por isso bate na tecla de ser babaca...",1
picareta vai pro inferno verme nojento ,1
@user porra vem vcs dois pra sp,1
"puts, mas eu to muito gata, vai toma no cu https://t.co/ltjjalbshu",0
"@user eae filha das puta, to de shorts",1
@user t茫o t谩 馃榾馃槂馃槃馃榿馃槅馃槄馃槀馃ぃ馃ぃ馃ぃ ! https://t.co/sgx1iqwjqa,0
@user @user coisa feia,1
"rivais: cadê a copa do brasil? não ganha nada há anos 

eu: cê tem o daniel alves no seu time? não? então sai de cabeça baixa vai https://t.co/obxgqnfbxu",0
"chego em casa agora e recebo a not铆cia de que minha irm茫 comprou as passagens p/ rs e os dias do parque de beto carreiro e quer que eu v谩 com ela pra cuidar de bernardo pq mainha n vai, e eu estarei oq??trabalhando porra.. vou conversar c meu chefe p v锚 se ele me libera p ir 馃槱",0
"gente premio maior seria para quem trabalha em proldos milhares de refugiados, principalmente no oriente medio. gente que morre todo dia nas aguas...criancas...velhos...pais...maes... valei-me essa menina e somente uma exporacao midiatica!",1
rt @user ai gente minha hora vai chegar se deus quiser https://t.co/dq05wnemvf,0
saudades de ter tempo pra comer no ru  nem sei se ele vai existir ainda inclusive bolsonaro do caralho,1
"@user @user @user @user @user @user @user @user @user @user oii @user ! queremos ouvir 'a brand new day' do @user feat. @user na programação! obrigadx!

#kcamexico #bts #army ",0
toma abestada.,1
a pessoa que escreveu isso é um ser em trevas. jesus tenha piedade desse ser que um dia vai chorar lágrimas de arrependimento.,1
caralho pq as pessoas têm preconceito com câncer???? melhor signo me dá licença,1
@user é fodido ,1
"desnecessário, @user desnecessário.",0
louco roubando nossos direito,1
@user ele é de qual grupo?  https://t.co/fyvhniyucr,0
somos todos @user para a pgr senhor presidente @user,0
que dahóra! vou assistir,0
irmã tá fazendo minha unha ,0
rt @user p茅ssimaaaa p esconder minha cara de cu quando to incomodada com alguma coisa,0
"mano, teu sorriso me desarma até no sonho. pqp! que ódio!",0
"@user ai a criatura nem tá falando comigo kkkkkkkkk,to triste",0
rt @user meu deus esse jogo tá do caramba pqp #voleinosportv,1
"rt @user cara de quem vai foder com tudo, pqp https://t.co/lvrufwz4zq",1
rt @user se a pessoa não sabre abrir a merda do ovo vai saber fazer uma merda dessa pqp https://t.co/nhss71xzqi,1
abandonei moon lovers drama ruim do caralho,1
aaaa porra..... o útero até coça,0
"gente bonita, elegante e sincera",0
@user @user perdemos o top 1 br no campeonato vai tomar no cu corporativismo,1
"tava na rodovi谩ria e um homem me pediu um trocadinho pra comprar comida meu cora莽茫o partiu

fui la e comprei um pastel pra ele

ele ficou tao feliz valeu cada centavo",0
"está morrendo na política e nao sabe, a cada dia no fundo do poço ",1
"lista de mitos da nba:

vince carter dunk contest

modo playoff  lebron 

hoodie melo

kyrie careca

fred vanvleet pós nascimento do filho

flu game jordan

linsanity

frobe

gilbert arenas glock 17

andrew wiggins vs okc

harden olhos vermelhos

13 pnts em 35 segundos t-mac",0
bó pra tóquio guriassssssssss jogaram p caralho,1
rebola no pau fumando haxixe,1
"@user ""parece""",0
